Date,SPY up 1%,SPY down 1%,BTC up 5%,BTC down 5%
2021-01-04,False,False,False,True
2021-01-05,False,False,False,True
2021-01-06,False,True,True,False
2021-01-07,True,False,False,True
2021-01-08,False,True,False,True
2021-01-11,False,True,True,False
2021-01-12,False,True,False,True
2021-01-13,True,False,False,True
2021-01-14,False,True,False,True
2021-01-15,True,False,False,True
2021-01-19,False,True,False,True
2021-01-20,True,False,False,True
2021-01-21,False,True,True,False
2021-01-22,False,True,False,True
2021-01-25,False,True,False,True
2021-01-26,False,True,True,False
2021-01-27,True,False,False,True
2021-01-28,False,True,False,True
2021-01-29,False,True,True,False
2021-02-01,False,True,False,True
2021-02-02,False,True,True,False
2021-02-03,False,True,False,True
2021-02-04,True,False,False,True
2021-02-05,False,True,False,True
2021-02-08,True,False,False,True
2021-02-09,False,True,False,True
2021-02-10,False,True,False,True
2021-02-11,False,True,False,True
2021-02-12,True,False,False,True
2021-02-16,False,True,False,True
2021-02-17,False,True,True,False
2021-02-18,False,True,False,True
2021-02-19,False,True,False,True
2021-02-22,True,False,False,True
2021-02-23,False,True,True,False
2021-02-24,True,False,False,True
2021-02-25,False,True,False,True
2021-02-26,False,True,False,True
2021-03-01,False,True,False,True
2021-03-02,False,True,False,True
2021-03-03,True,False,False,True
2021-03-04,False,True,False,True
2021-03-05,False,True,False,True
2021-03-08,False,True,False,True
2021-03-09,False,True,True,False
2021-03-10,False,True,False,True
2021-03-11,True,False,True,False
2021-03-12,False,True,False,True
2021-03-15,True,False,True,False
2021-03-16,False,True,False,True
2021-03-17,False,True,True,False
2021-03-18,False,True,False,True
2021-03-19,False,True,False,True
2021-03-22,False,True,True,False
2021-03-23,False,True,False,True
2021-03-24,False,True,False,True
2021-03-25,False,True,False,True
2021-03-26,True,False,False,True
2021-03-29,False,True,False,True
2021-03-30,True,False,False,True
2021-03-31,False,True,False,True
2021-04-01,True,False,True,False
2021-04-05,True,False,False,True
2021-04-06,False,True,False,True
2021-04-07,False,True,True,False
2021-04-08,True,False,False,True
2021-04-09,True,False,False,True
2021-04-12,False,True,False,True
2021-04-13,True,False,False,True
2021-04-14,False,True,False,True
2021-04-15,False,True,False,True
2021-04-16,False,True,False,True
2021-04-19,False,True,False,True
2021-04-20,True,False,False,True
2021-04-21,False,True,False,True
2021-04-22,False,True,False,True
2021-04-23,False,True,False,True
2021-04-26,False,True,False,True
2021-04-27,False,True,False,True
2021-04-28,True,False,False,True
2021-04-29,False,True,True,False
2021-04-30,False,True,False,True
2021-05-03,False,True,False,True
2021-05-04,False,True,False,True
2021-05-05,False,True,False,True
2021-05-06,True,False,False,True
2021-05-07,False,True,False,True
2021-05-10,False,True,True,False
2021-05-11,False,True,False,True
2021-05-12,True,False,False,True
2021-05-13,False,True,False,True
2021-05-14,True,False,False,True
2021-05-17,False,True,True,False
2021-05-18,True,False,False,True
2021-05-19,False,True,True,False
2021-05-20,False,True,False,True
2021-05-21,False,True,False,True
2021-05-24,False,True,False,True
2021-05-25,False,True,False,True
2021-05-26,False,True,False,True
2021-05-27,False,True,False,True
2021-05-28,True,False,True,False
2021-06-01,False,True,False,True
2021-06-02,False,True,False,True
2021-06-03,False,True,True,False
2021-06-04,False,True,False,True
2021-06-07,False,True,False,True
2021-06-08,False,True,False,True
2021-06-09,False,True,False,True
2021-06-10,False,True,False,True
2021-06-11,False,True,False,True
2021-06-14,True,False,False,True
